Nama,Bintang,Tanggal dan Waktu,Ulasan
nadia dona,5,10/26/2023 8:54,"Aplikasi yg oke, mudah di akses dan tidak mengecewakan ??"
evi kurniati,5,10/26/2023 4:27,tercepat dan paling best bngettt klo lagi cari tiket pesawat mau pun kereta.... promony bnyk.... & bs dpetin kupon diskon hotel jg pkokny terbaikkk lahhh traveloka????
Rahmad Wibowo,1,10/30/2023 11:33,Kenapa kemarin dan hari ini klu malam tidak ada harga tiket pesawat yang muncul di aplikasi dan tidak ada penerbangan di semua tanggal dan tujuan?
Wulandari Novianti,1,10/26/2023 12:32,"Aplikasi lemot,susah d buka nya, uninstall dulu.lama juga utk uninstall nya,huft"
Eka Rachmamuliani,4,9/10/2023 7:53,Cukup mudah menggunakan aplikasi ini dan sangat membantu mencari akomodasi yang kita perlukan saat kita mau bepergian
Mada Doni Damanik,1,9/20/2023 0:22,"Tidak sengaja terupdate, kolom diskonnya berubah menyusahkan, kembalikan seperti dulu saja.. tks"
Abimanyu,5,10/24/2023 8:33,Mempermudah kita utk pemesanan utk liburan atau keperluan lain2 guys.. Buruan cobain dan rasakan manfaatnya ??
Ahmad Nurfahrizal,5,11/16/2023 9:45,sangat berguna dan membantu untuk perjalanan
Fahrul Rizaldi,5,11/14/2023 11:59,Traveloka rekomen dasi banget sih bisa memudahkan naik tiket pesawat bis kereta
SONG OF STYLE,5,11/7/2023 8:58,Sangat baik Di gunakan untuk mempermudah kita memesan tiket
Liyana Solihatun,5,11/6/2023 9:33,Sangat cocok untuk cari tempat liburan??
Dina Yuliastanti,5,10/20/2023 8:31,"Traveloka, semua bisa menjadi gampang dan mudah."
Azis Sulistyo,5,10/30/2023 5:03,"cepat, murah, dan mempermudah perjalanan anda"
Saipul Rohman,5,11/2/2023 7:06,"Sangat bagus aplikasi ini,,memudahkan kita untuk pemesanan tiket perjalanan"
Yan Bawor,1,9/1/2023 5:30,"Saya membeli tiket melalui aplikasi ini, akan tetapi tidak bisa terbang, karena tiket tidak terdaptar di maskapai, cs aplikasi ini susa respont dan tidak ada solusi penyelesaiannya, padahal suda dibayar dan tiket sudah terbit"
Erik Arfa Pratama,1,9/15/2023 12:33,Percuma dikasih limit paylater tapi gbs digunakan buat offline dan online...cuma bisa digunakan untuk pembayaran di traveloka aja...kn gk semua orang pengen jalan2 terus...jelek lah makin kesini
Donny Marizka,5,10/24/2023 15:14,Refund tidak dibayarkan..padahal dalam status refund sudah dibayarkan dan sudah melewati batas waktu traveloka berikan
Deasy Agustia,5,11/3/2023 12:33,"Sangat memuaskan customer, praktis dan efisiens ok"
Jejak Bujang,5,10/28/2023 5:56,Aplikasi bagus banget memudahkan buat beli tiket bisa dimana aja
Alice Pressilia,5,11/2/2023 10:41,Sangat suka dengan aplikasi ini sangat mudah dan cepat
okkysofhia _,5,10/20/2023 4:54,Aplikasi yang aman dan terpercaya untuk sebuah tranksaksi pemesanan dan promo yang diberikan mantap
Adhiyasa Rifaldi Wijaya,5,10/25/2023 11:13,sangat rekomendasi memesan tiket liburan di Traveloka aja apapun jadi makin cepat
Bayu Danuarta,5,11/15/2023 3:05,"Aplikasi bagus, mudah di pahami, banyak diskon nya"
Faizin Zin,5,11/15/2023 12:14,Aplikasi yang sangat membantu dan memudahkan kita dalam perjalanan.
rorokoro laguna,5,11/1/2023 7:19,Aplikasi yg bagus...membantu dalam hal obyek wisata yg ada di indonesia...
Yulius didiks,5,10/25/2023 15:34,"Aplikasi sangat bagus, cocok buat pesan"" tiket traveling"
Alfida Indra Sarie,5,11/16/2023 7:40,Dengan traveloka liburan jadi mudah.
Seni Septiani,5,11/1/2023 7:00,sangat membantu untuk mencari penginapan dan tempat pariwisata
Emi Nurhayati,5,10/30/2023 5:10,Keren bgt traveloka jadi lebih mudah tiap perjalanan
eka putri,5,11/16/2023 4:59,Memudahkan dalam memesan tiket dan booking hotel.. terpercaya. Thanks semakin baik kedepannya
Hendra prayoga,5,11/15/2023 6:41,aplikasi sangat membantu orang untuk mencari tiket pesawat
Kasilan Motor,3,11/13/2023 4:10,"Maaf mau tanya, untuk pemesanan/boking tiket berapa jam ada pemberitahuan ke nomor pemesan, saya boking dari tadi malam teteapi sampai sekarang belum ada pemberitahuan"
Nur Rainah,5,10/26/2023 11:04,traveloka ini rekomendasi banget buat kalian yng mau pesen tiket pesawat untuk liburan
Hape Nggateli,1,10/14/2023 10:10,"Buat traveloka....survey dg benar setiap hotel yg dijual, jangan tidak tahu dg keadaan di lapangan."
Dafa Dafa,5,10/30/2023 12:24,Aplikasinya bagus mempermudah untuk membeli tiket pesawat dan hotel
Arman Suparman,5,9/9/2023 8:24,"Membantu dan menghemat waktu, untuk bertransaksi dan traveling."
Dina Lestari,5,9/24/2023 9:06,semoga kedepannya Traveloka menjadi teman untuk pergi dan kembali dengan nyaman dan harga terjangkau.sukses slalu Traveloka ??
Nourmalita Sari,2,9/18/2023 13:46,"Aku 2tahun ga pke traveloka sejak corona limit paylater gak pernah dikurangi. Pdhl jarang pake jg. Giliran ganti dari trinusa traveindo ke caturnusa sejahtera, uda nelpon tiba2 suruh bayar cepet2 pdhl masih jauh harinya, ga ramah pula kek deptcollector, limit tb2 diturunin hampir 3/4 dari limit sebelumnya. Ga mslh sebenernya, cm kecewa aja, pdhl akun lama bgt uda 5tahun lbh pke traveloka. Busuk!"
isad bms,5,9/1/2023 7:30,"Sangat membantu, sayang tarif tiketnya harganya lebih mahal dibanding langsung di agennya. Terima kasih"
idha kurniasih,5,10/9/2023 8:23,aplikasinya lumayan membantu untuk pencarian akomodasi perjalanan. cukup lengkap dan cukup detail
Deri bacukyawan,5,9/24/2023 4:53,Sangat memudah kan sekali dalam melakukan perjalanan ... Aplikasinya sngt bgus....
Ade Andriya,1,9/9/2023 12:31,"Ini knp aplikasi traveloka tidak bisa terbuka ya, mau pesan tiket pswt jdi tertundaaa ."
yeni noviati,5,9/9/2023 12:14,"Lebih mudah memesan tiket pesawat dan hotel melalui traveloka, sudah lama pakai traveloka, cara refund atau reschedule cepat dan aman????"
Rita purnama sari,5,10/15/2023 6:03,"bagus, kalau liburan enak ga ribet cari penginapan, terimakasih traveloka"
roy andriyana,2,10/3/2023 9:17,Udah aktif lama tp iklan di aplikasi lain dan terlalu sering dan otomatis aktif sendiri
Adi Permono,1,9/19/2023 9:51,"Mohon maintance ulang min, aplikasi terlalu berat untuk tampilan one UI terbaru"
Agustin Anjani,1,9/30/2023 13:16,"pelayanan yang tidak memuaskan sama sekali, tiba tiba ada pembatalan tidak di inginkan waktu di hari h secara sepihak, seharusnya pembatalan dilakukan sebelum hari h, pelayanan yang saya dapatkan sangat tidak memuaskan sama sekali."
Alex Juanda,5,9/23/2023 11:31,Sangat puas dengan layanan serta promo dan produk..saya berikan 5??.dan satu yg kurang pembeli pulsa melaui payleter yg tdk ada
229_ Arifah Nurjanah,1,10/2/2023 9:37,"Maap bintang satu, saya pengajuan refund uang ny ga d tf� padahal di apk ny uang berhasil d tf dan saya sama sekali blum nerima uang refund nya. Mana uang refund udh d potong banyak bgt, ga di tf� lagiii."
Kevin Satria,1,10/1/2023 3:43,Uang mepet booking hotel eh tiket tidak dapat diterbitkan padahal udah bayar lalu saya Refund uangnya blm balik dan proses nya lama bgt
Kiky Zaka,5,9/24/2023 12:20,"Sangat membantu banget si traveloka ini, ayo buruan pakai lebih mudah dan praktis"
Yofida Fatika,1,9/25/2023 12:00,"traveloka payah, saya kedobelan order hotel dan tagihan hotel ada 2 juga padahal sdh melakukan refund... sudah saya bayar hotel yg tdk saya refund kok bisa�nya ada tagihan paylatter dobel. payah"
Bagus Trt (Bagus Prasojo),5,10/16/2023 17:56,Applikasi ini sangat membantu ketika sedang bepergian ke luar kota bisa cari penginapan dengan cepat
M Fatharul,3,9/13/2023 8:30,Kenapa sudah 2hari ini aplikasi tidak bisa di gunakan selalu Maslah koneksi padahal internet setbil
Bintang Cute,1,9/17/2023 4:33,Update terus virtual number tetep gak bisa di pakai yaa belum berubah lah segini aja dulu bintangnya
Riskawati,1,9/24/2023 13:25,"Gua kira klo refund tinggal ngirim no rek doang gausa ngisi ccv rekening segala, karena itu hal privasi. Mana cs yang namanya Wisnu ngeselin banget, maaksih dah. Ga lagi gua pesen di Traveloka"
Raihan Alfajar,1,10/4/2023 2:53,"SANGAT KECEWA, PESAN TIKET BIS tgl 03 oktober malah jadi 04 oktober, dan tidak bisa refund atao rescedule, SANGAT MERASA DIRUGIKAANNNNNNNNNNN, semoga cepat HANCUR"
Angga Ray,1,9/29/2023 3:29,"Menyambungkan terus setelag update, tidak bisa dibuka, fix uninstal"
Boma Adikusuma,5,10/19/2023 12:10,Menjadi pilihan pada saat traveling dengan kemudahan dalam penggunaan aplikasi & praktis
Midwifery Neya,1,8/29/2023 7:09,Kecewa sekali dgn sesuka hatinya u/ mengubah jadwal penerbangan pesawat sekian lama sy menggunakan travelloka u/ penerbangan sy tp hr ini sy sangat dan sangat kecewa
Fadhil Fadani,1,9/3/2023 11:54,Mengecewakan. Kenapa tidak bisa searching kota keberangkatan dan tujuan? Tolong bikin aplikasi yang niat
bapak geming,1,10/16/2023 3:56,"Kurang jelas aplikasi ini, mau revand sangat di persulit, ujung2nya duet kt di embatnta g di balikin, nyesel makenya, g bisa di percaya aplikasinya"
Iza Arsalan,4,9/19/2023 9:13,Dikurangi dulu bintangnya. Level sudah priority tapi limit naik sulit cape deh mbak traveloka
Rehan Bajingan,5,10/19/2023 9:13,Aplikasi ini sangat bagus dan membantu aku sekali bisa meblei tiket dgn gmpg dan menjelajahi dunia
Aulia Kanbera,1,9/15/2023 18:44,"Update terus ni aplikasi, makin lama makin gak bagus.... kenapa tiap mau upgrade hp saya jadi erorr kenapa coba?"
Silvi Sundari,1,10/9/2023 2:52,"Buruk , sering keluar sendiri lgi cari hotel malah kluar halaman trus !!"
Iwan Triyadi,5,9/8/2023 21:54,"Aplikasi yang sangat membantu travelling mu menjadi sangat mudah, lancar dan fleksibel"
momz azka,5,9/14/2023 13:02,"Selalu trbaik dalam menjadi patner ketika kami berpergian, dan respon nya juga sngat trbaik, pengalaman sy waktu menginap sempat ada kesalahan dr pihak hotel. Langsung di selesaikan dgn baik oleh trveloka... Trimakasih sdh 7 tahun ini menemani..."
gugi warta kusumah,1,9/9/2023 11:42,Kenapa traveloka skr kok lemot y. Susah di buka aplikasi nya. Loading nya lama
agung Wicaksono,1,10/19/2023 7:09,knapa apk nya gabisa dipake dah? tbtb pesanan hilang gmna cara balikin nya..
Diah Firdha,1,9/20/2023 22:28,"Tiba"" limit paylater saya jadi 0 kayanya gara"" saya lupa kasih reting . Padahal saya bayar tagihan tepat waktu.jadi males pake Traveloka"
kiki enderdo,5,9/1/2023 3:11,"sangat membantu memudahkan pembelian tiket, terima kasih. sukses selalu traveloka"
krishna pramadhyta,1,9/22/2023 16:52,"?????????? Traveloka tidak bisa dibuka dan saya hapus kemudian instal ulang, tapi malah harus daftar lagi sebagai member baru semua point traveloka saya hilang"
Iwan Prasetio,5,9/9/2023 5:15,alhamdulillah percaya utk Traveloka tapi knp saya gk bisa menggunakan/mendaftarkan Payleter traveloka utk di gunakan sewaktu2 perjalanan jauh
putri rahmawati,5,10/3/2023 5:18,"Payleternya sangat bagus,apa lagi ada fitur virtual numbernya .the bestt pokoknya????"
Ani Maulani85 (Mel),4,10/16/2023 7:46,Saya selalu langganan tiket di Traveloka. Pada saat pengajuan Paylater Zonk.
Andy Adrianto,5,9/28/2023 3:23,Memudahkan dalam pencarian sarana akomodasi dan transportasi untuk berpergian
Yudeskil batigool jeremya,1,9/13/2023 14:24,sangat tidak merekomendasikan .. lebih. baik di plaffron lain castemer servis jga boot semua... susah untk komplain hawaban tidak sesuai
KICKOUT KICKOUT OFFICIAL,1,10/7/2023 13:09,Traveloka harus mencantumkan jenis pesawat dari semua maskapai. Berkaca dari kejadian 737 MAX yang sampai saat ini ga jelas. Tolong dicantumkan jenis pesawat. Karena saya menghindari maskapai yang memakai pesawat 737 MAX.
Membe Tabuno,1,9/17/2023 14:56,Masa sejenis aplikasi kek kalian gak bisa kembalikan uang refun sdh 1 bulan tdak ada pengembalian pdahal yang salah kalen sendiri pake waktu segala dan nominal harga harus sesuai
Didiet Aditya,5,9/30/2023 10:33,"Terima kasih Traveloka, perjalanan keluarga jadi tenang, gak perlu lagi nyari tiket & hotel di tempat wisata."
Agus Dimas,5,10/19/2023 5:47,Aplikasi yg sangat bisa diandalkan pada saat kita mau liburan. Keren sih
Bilal Hidayah,5,10/12/2023 19:03,Cocok banget apk Traveloka buat yang mau pesen penginapan ataupun travel dan masi banyak lagi
Melly Nda,5,9/24/2023 6:19,"Bepergian dengan mudah tanpa harus mengantri beli tiket ,tinggal klik pesan apa yang mau di tuju ,sekarang kemana mana berangkat tidak payah lagi beli tiket keluar rumah"
Zulpan Ajjja,5,9/12/2023 7:17,Lebih mudah dan praktis menggunakan traveloka kemana pun dan kapan pun
Irfan Rosyadi,1,9/24/2023 11:08,Saya transaksi paylater tapi mengajukan refund Krn pindah hotel yg lebih dekat tujuan tp masih terkena biaya bunga pengajuan paylater transaksi sebelumnya
ADJI DAMAIS,1,10/4/2023 15:05,ngebug tidak bisa di buka di hp poco f3. masa' harus di instal ulang dulu. ribet
Kiwun Melinthul,5,10/19/2023 13:24,sangat membantu semua kebutuhan travel saya.....gak bingung mau nginap dimana....gak susah juga mau naik apa
Kiranti Daily,5,9/26/2023 13:06,"menjadi salah satu aplikasi kesukaan,karna saya suka jalan2 jd saya serinf seacrh ditraveloka byk diskon juga."
ardila setyawati,3,8/28/2023 2:42,"Beberapa hari ini untuk pemakaian virtual number oembelanjaan di shope blm bisa terus, mohon segera diperbaiki saya bayar juga tidak pernah telat"
Katarina Lie,5,9/5/2023 6:03,sukses selalu yah traveloka... terima kasih sudah jadi aplikasi andalan saat berpergian
lusiana dewi,5,10/15/2023 7:54,"Saya baru download lagi mau login kok tidak bisa masuk yaa katanya sistem dari Traveloka nya ,"
Winny Edwina,5,9/14/2023 13:53,aplikasi nya mudah digunakan. suksess selalu utk Traveloka.
toko marem,1,10/12/2023 9:36,Terserah anda lah mau turunkan level jg GPP...yg penting saya amanah tetap bayar tepat waktu tanpa keterlambatan Untuk PT caturnusa sekedar saran saja jgn memandang konsumen dengan sebelah mata....belum tentu yg anda beri limit tinggi bisa amanah... yg terpenting adalah track recordnya. Gak pernah terlambat bayar yg seharusnya adalah prioritas.... semoga yg di beri limit adalah orang amanah.... jgn sampe di galbay orang yg anda percayai
Dede Reza,1,10/12/2023 3:03,Harga hotel tidak sesuai. Padahal udh boking online n bayar online.Masa sampai hotel msih kena biaya tambahan 80rb lagi. Apa�an ini percuma
Jhonie Psh,5,10/19/2023 9:30,Aplikasinya sangat membantu dan ngak perlu ngentri ke loket lagi
Devian Aditia,5,11/17/2023 11:43,Aplikasi ini sangat bagus dan sangat membantu terimakasih traveloka?
Ndah Yusmarinda,5,10/30/2023 7:17,"Apk bagus sekali, mempermudah masyarakat dalam pembelian tiket pesawat jd tidak perlu mengantri lagi. ??????"
Hesti Setya Anjani,5,11/13/2023 10:19,Belanja tiket jadi lebih gampang berkat adanya Traveloka ini ?????
Asep Sulaiman Adiputra,1,10/25/2023 13:30,Berubah harga tiket pas mau beralih k pembayaran.. kan g lucu..
Melinda Agen Resmi VITAMALE,5,11/1/2023 10:59,Sangat membantu dalam cari hotel dgn harga terbaik ??????
Hera Kumala,5,11/2/2023 10:58,Aplikasinya bagus buat cari hotel lebih mudah
Rusman IM,5,9/20/2023 11:36,Mohon ditinjau lagi. Level paylater menurun padahal tdk ada masalah dengan pembayaran
Een Elasari,5,11/2/2023 8:34,"Mantep banget aplikasi ini, membantu sekali buat perjalanan. ??"
Iska Seftiana,5,11/13/2023 7:10,Aplikasinya bagus sangat membantu dan menyediakan banyak pilihan
Dadan Wildan,5,11/12/2023 4:06,Rekomenin banget untuk cari hotel
Elba Roma,5,9/11/2023 6:21,selalu jadi yg terbaik dan tercepat unt traveling
Vinka Sidabukke,1,10/22/2023 11:20,"Padahal udah update, tapi terus halaman belum ter update"
Komala Sari,5,11/17/2023 12:18,Sangat membantu untuk perjalanan traveling
Winda Winarno,5,11/17/2023 5:46,Traveloka solusi terbaik untuk nginep ga susah mau cari apa2 ter the best??
Ashad Saputra,5,10/24/2023 5:42,"Pengalaman membeli tiket yang cukup murah dan bisa reschedule, mantap"
Sales26 Tiberman,1,10/13/2023 10:55,Saya sudah bayar. Tp hotel menolak dengan alasan sudah tidak ada kontrak. Mau dibrefund tidak bisa.
Rain Vivo,5,10/30/2023 6:58,Aplikasi ini memudahkan Saya dalam banyak hal sehingga aktivitas saya menjadi lebih lancar dan teratur
Rahyuni Nasution,5,10/27/2023 10:47,"Aplikasi yang mudaj dipahami, pemesanan tiket mudah, banyan promo, dan bisa paylater, mantaaap ??"
MUHAMMAD ALI RAHMAN,5,10/24/2023 11:10,"Sangat membantu untuk pemesanan tiket dan hotel, terimakasih traveloka"
agung supriyatno,5,11/7/2023 1:54,sangat mudah dan cepat proses pembelian tiketnya
Ani Syafaah,5,11/14/2023 8:24,"Semakin mudah memesan tiket, trima kasih traveloka"
Tina Aryani,5,10/29/2023 8:31,Andalan kalo mau kemana mana tinggal pake Traveloka. Gampang dan mudah :)
Hfid Chess,5,10/23/2023 8:30,"Apk ini sangat berguna untuk, orang yang sedang mencari hotel dan tiket pesawat"
Josse Remano,5,10/25/2023 6:08,Traveloka sangat mempermudah mobilitas saya yang suka Travelling ??
Haryati Haryati,1,10/20/2023 14:53,Sy dowload pake Facebook tp skrg sy sdh pake Facebook itu dan no yg terdaftar jg sdh nda terpakai sy sdh infokan lewat cs traveloka tp nda ada solusinya
Reinhard watti,5,11/7/2023 6:19,Aplikasi yang sangat berguna untuk membantu membeli tiket dengan gampang
Lutfi Mujadid Baehaki,5,10/26/2023 4:26,"Mantap sekali, sangat membantu dan memudahkan pemesanan tiket untuk perjalan bisnis dan wisata"
Ibrahim Hasan,1,9/19/2023 22:17,"Main main aja, saya sebagai wna sangat kecewa dengan traveloka, karena tidak jelas, dan mereka berbohong"
Dicky Infantri Nugraha,5,11/13/2023 11:09,Hiburan atau tempat beristirahat yg sangat rekomendasi banget
Sofiah Sujari,5,11/10/2023 9:45,mudah utk pemesanan dan lebih murah
windy violet,1,6/28/2023 13:16,"Awalnya sangat suka traveloka. Tp pas menggunakan paylater dan bayar on time level malah turun, limit tidak kembali. Gimana mau menggunakan lg. Gunanya paylater kan membantu walaupun utk jangka waktu tertentu, dan mempermudah. Tapi kalo begini sdh 7x payment...limit tidak jg kembali..pdhl sdh lebih dari yg terpakai lho yg di bayarkan. Mengecewakan lah akhirnya"
ferdinand piliang,2,7/6/2023 2:10,"Harga tiket pesawat yg tertera selalu berubah menjadi naik ketika lanjut ke tahap pemesanan... memang hrga tiket fluktuatif, tp ga tiap detik juga kalee... soalnya berulang kali coba pesan dlm wkt bbrp menit itu harga nya tetap sama, tp ketika di pesan lgsung berubah (naik), begitu terus.. Kl memang hrg tiket sdh berubah harus nya auto berubah jg donk di tampilan awal nya. Pihak traveloka ga usah ngeles dg alasan hrga tiket yg fluktuatif, lakukan aja evaluasi dan perbaiki sistem nya."
Yoga Andika,5,5/24/2023 22:47,"Saran aja nih, untuk fitur Filter bisa di tambahkan short by rating atau pilihan rating utk 8 ke atas misalnya, sama bisa kasih fitur juga utk total harga ketika pencarian, jadi klo kita mau nginap 3 ato 4 ato lebih malam bisa langsung tau total harga ketika searching hotelnya. Itu akan sangat memudahkan pengguna."
Tomy Antonius,1,5/24/2023 6:05,"Sbg pengguna traveloka sangat kecewa pernah mengalami pembatalan/Cancel sepihak dr maskapai, shg terpaksa membeli tiket lebih mahal krn mendekati hari H keberangkatan. Walau kami membeli full insurance, tidak ada kompensasi apapun, jadi sama saja dng yg tdk membeli asuransi tambahan. Dari pengalaman ini percuma beli asuransi tambahan ..tidak ada guna dan tidak ada beda yg beli asuransi dng yg tanpa beli. Padahal kami membeli asuransi tambahan utk antisipasi jika terjadi pembatalan oleh maskapai"
mahirrk 29,5,6/14/2023 12:53,"Gak heran sama limit paylatter yang turun padahal pembayaran on time. Lah gw ngga bisa dipakai padahal bayar double terus. Dari pihak traveloka gak bisa kasih solusi. Sudah komplain berkali"". Sudah minta data ini itu, tapi gak bisa menyelesaikan masalah. PARAH sih,"
Edy Hendrikus,1,7/27/2023 1:46,"Anehnya Traveloka suruh saya hapus akaun yg lama daftar ulang supaya bisa dapat paylater malah pendaftaran dari semalam sampai sekarang tidak di setujui, padahal sy sering beli tiket dari teman"" yang mau berpergian. Sangat buruk"
komang satriawan,5,6/2/2023 22:36,"Aplikasi bagus dan sangat membantu, hanya saja ada tambahan2 konten lain yg membuat menjadi kurang nyaman. Antara lain, berbagai macam Asuransi, ketika sudah memilih penerbangan, salah satu Asuransi langsung terpilih juga. Jika tidak jeli, akan merugikan Konsumen/calon penumpang. Kalau Asuransi bagus dan mudah dlm claim sih ga masalah. Saya punya pengalaman sendiri, rajin pke Asuransi perjalanan, namun begitu ada keterlambatan maskapai, klaim nya sangat rumit, tidak semudah pendaftaran."
SahalaTP Hutabarat18,5,8/4/2023 23:46,"Selalu pakai Traveloka sampai saat ini Traveloka belum pernah mengecewakan saya... Hanya asuransinya saja yg pernah mengecewakan saya.. Saya pernah delay sampai 5 jam an... dan syarat2x sudah saya kirim by email, tetapi komplain saya ribet dan terkesan mempersulit.. makanya saya tidak mau pakai lagi asuransi apapun di Traveloka. Tolong penyelenggara Traveloka agar di seleksi asuransi yg terlibat di Traveloka. trims"
Hanif,3,7/4/2023 2:15,"Pembayaran dengan ATM lainnya ga recommended banget buat yg pesennya buru�. Konfirmasi pembayaran aja lama banget ni dari siang ampe malem belum juga di konfirm, padahal udh jelas gua lampirin bukti pembayaran yang sesuai rek tujuan sama nominalnya juga udah pas."
Armando Ginting,1,7/13/2023 13:07,"Aplikasi ini menjebak. Harga tidak konsisten. E tiket atanya 15 menit jadi, tapi sehari pun belum jadi. Di aplikasi sudah bisa check ini, dibandsra ternya belum. Buat susah ini aplikasi. Pantes peminatnya kurang. Info aplikasi lain dong gaes yang berguna dikit"
Clara Fahmi Firansyah,2,7/7/2023 19:49,Kecewa sekali dengan traveloka.. Tidak bisa lagi menggunakan paylater... Padahal bayar selalu lebih cepet dari yang seharusnya.. Malah level turun dan limit 0.. Sangat tidak membantu
S4N7 YT,1,7/14/2023 15:24,"Pemerasan terhadap costumer melalui paylater , pembatalan oleh maskapai ,tapi cicilan tetap jalan ,padahal refund tertulis jika pembayaran dengan paylater akanendapatkan refund sepenuhnya ,tapi malah dipotong potong dan costumer yg disuruh bayar . Semoga kedepannya aplikasi ini di hentikan saja . Karna sangat merugikan costumer. Apalagi pemakai pay later"
Satrio Pratama,1,7/8/2023 2:05,"Apakah aplikasi ini sengaja menipu pelanggan dengan memasang harga palsu yg lebih rendah, ketika mau booking tiket tiba� harga berubah naik. Kalau memang harga tiketnya mahal ya diposting aja apa adanya, jangan membohongi pelanggan dengan tiba� harga berubah saat mau dibooking. Sudah beberapa kali seperti ini. Kecewa dgn traveloka"
Suar Halawa,2,6/22/2023 19:54,"Mengapa harga yang tertera tidak sesuai ketika ketika melanjutkan di pembayaran. Khususnya Citilink. Contoh Yang tertera 4,5Jt utk dua orang pas pembayaran 10jt. Tolong donk diperbaiki, jangan menipu. Gk gitu juga caranya."
Nuzula Hidayati Fitri,1,7/29/2023 5:27,"Kecewa bangett sama traveloka, sudah top up uangsaku, malah tidak masuk di saldo akun, katanya suruh tunggu 30 menit, buktinya sampe puluh"" an menit tidak ada kelanjutannya, sampe"" bukti aktivitas saldo tertunda dihilangkan, padahal saldo saya tidak bertambah,sy rugi uang hilang, saldo nggk bertambah, trus uang transfer annya dikemanakan ????? Dah lah paling bener uninstall ni apk..."
Suryo Super,1,5/28/2023 3:51,"Pembayarannya ribet sekarang, pake UANGKU sdh di top up, saat check out suruh masukin credit card, sdh di masukin jg. Saat mau check out masih aja metode pembayaran gak bisa di pilih. Lha yang aplikasi UANGKU buat apa suruh top up. Gak bisa refund ya yg UANGKU itu?"
nur janah,5,7/18/2023 1:41,"sangat bagus, dan memuaskan sekali pakai aplikasi traveloka ini dan juga sangat membantu serta sangat mudah dimengerti jika ingin booking sesuatu dan proses sngat cepat jika ingin mengubah jadwal bookingan Terima kasih traveloka sudah membantu saya"
Stefania Dela,2,8/1/2023 7:48,"Tagihan dibayar tepat waktu, limit dipakai sesuai, akun aktif tapi level sudah 2x diturunkan, ampun deh!! Gimana gak melebihi limit, level dikasih turun melulu. Udah lunas gw keluar aja dr traveloka. Gak nyaman sama sekali pakai traveloka. Sebel!!"
Vizca Mayrinlie,3,7/22/2023 1:27,"Sekarang untuk harga jauh sekali lebih mahal bahkan pernah juga udah pake paylater malah disuruh byar dari pihak hotelnya karena peraturan dari travelokanya. Dan harganya jadi lebih naik, kalau dibatalin kena potongan ditraveloka sesuai hrga yg sama jadi serba salah gak ada pilihan. Jadi gak bikin nyaman pemakaian traveloka lagi."
Margaretha P Amah,1,5/28/2023 9:18,2 kali pesan tiket pesawat dan hotel sudah di pastikan tgl dan bulan benar. Pas di pesan malah salah bulanlah salah tgl lah. Ini gimana ya. Telfon customer service malah tdk membantu sama sekali
Latifah Tifah,1,7/23/2023 8:19,Tadinya sangat terbantu dengan ada nya paylater..knp sekarang paylater tidak bisa digunakan alasannya karena keamanan..padahal selalu tepat waktu klo pembayaran.. Aneh..buat apa limit 14jt klo tidak bisa digunakan.. Udh berkali-kali melapor ttp ja respon selalu nunggu
diah ayu Vianti,1,8/19/2023 8:36,"Sudah jadi penguna setia, sebelum pandemi aktif pakai Traveloka untuk berbagai keperluan traveling. Sampai dapat limit paylater lumayan tinggi, hanya karena transaksi yg saya batalkan akibat pandemi tapi bunga paylater tetap harus dibayarkan, saya aktif bayar, sampai tersisa bunga paylater yg hanya 82ribu saja masih saya pending bayar sebagai bentuk protes refund yg belum dibayar oleh Traveloka terkait pembatalan transaksi masa pandemi itu. Dan paylater saya dinonaktifkan dong, sangat kecewa."
prabandhari sari,2,6/20/2023 4:15,"Mengapa akun travelokapaylater sy di nonaktifkan ? Sementara sy selalu membayar tepat waktu dan tidak pernah melakukan pembelian secara dadakan. Saya komplain tapi tidak ada jawaban, dari chat maupun email... Tolong pihak kredit traveloka menginvestigasi kembali akun travelokapaylater sy, kan disitu ada bukti pembayaran sy yg selalu ontime. Saya pelanggan lama traveloka, tolonglah agar traveloka bisa berbenah lagi. Terutama dibagian kreditnya dan pelayanan konsumen.."
Jempol polan,2,6/2/2023 3:47,"Sampai saat ini aplikasi traveloka gak bisa log in, Setiap buka pasti diminta konfirmasi WA atau SMS, tapi kode gak dikirim. WA dan SMS tidak dikirim, sinyal HP bisa nerima yg lain hny dari traveloka gak fungsi"
Adrianus Jegau,1,7/14/2023 8:39,"Kalau perjalanan anda pengen aman. Jgn pesan tiket pake ini barang/aplikasi. Benar� nyusahin org. Semakin kita pesan tiket di sini, sama halnya kita memberi ruang utk monopoli Tiket di negeri ini ke Traveloka. Dan itu bisa menciptakan banyak mafia di sini. Baru saja terbang dari Bali tujuan Palangkaraya. Padahal ada perubahan jadwal, tapi ga ada update dari ini barang..??"
risda indri,1,7/4/2023 7:32,"Ada dengan Traveloka, padahal sinyal saya bagus, buka aplikasi lain lancar2 aja. Pas buka Traveloka nggak bisa. Sampe saya install ulang tetap juga nggak bisa.. padahal saya mau ngecek tiket pesawat.."
Lastarida Tambunan,1,7/2/2023 18:46,"Tidak udah ada penawaran tukar point dengan produk-produk kalau memang gabisa dipakai kode vouchernya. Saya tukar point dengan ichitan gabisa-bisa ditukar kodenya. CS sudah dihubungi untuk komplain masalah, tapi gak ada penyelesaian."
